Hotel Name,Address,City,Postcode
The Savoy,Strand,London,WC2R 0EZ
The Grand Hotel,Kings Road,Brighton,BN1 2FW
The Dorchester,Park Lane,London,W1K 1QA
The Ritz London,150 Piccadilly,London,W1J 9BR
Claridge's,Brook Street,London,W1K 4HR
The Langham,1C Portland Place,London,W1B 1JA
The Connaught,Carlos Place,London,W1K 2AL
Brown's Hotel,Albemarle Street,London,W1S 4BP
The Midland,Peter Street,Manchester,M60 2DS
The Balmoral,1 Princes Street,Edinburgh,EH2 2EQ
